name,drawing,revision,fixture,py,px,ny,nx,developer_notes,operator_notes,requires_attn,requires_proof,start_date,finish_date
7002007 - G,7002007,G,T11789,424.75,0.0,576.0,0.0,,,0,1,1900-01-01,
7002044 - G,7002044,G,T11834,344.28700000000003,273.5,473.7158,273.5,,,0,1,1900-01-01,
7002322 - P,7002322,P,T11759,193.3937,0.0,273.5,0.0,,,0,1,1900-01-01,
7002434 - H,7002434,H,T11776,547.0,0.0,273.5,0.0,,,0,1,1900-01-01,
7002481 - L,7002481,L,T11711,0.0,141.574,288.0,270.0,,,0,1,1900-01-01,
7002630 - J,7002630,J,T11761,405.0,0.0,547.0,0.0,,,0,1,1900-01-01,
7002723 - H,7002723,H,T11711,0.0,141.574,288.0,270.0,,,0,1,1900-01-01,
7003310 - L,7003310,L,T11766,576.0,473.7158,576.0,236.8579,,,0,1,1900-01-01,
7003325 - H,7003325,H,T11829,273.5,0.0,273.5,0.0,,,0,1,1900-01-01,
7003378 - M,7003378,M,T11761,432.0,0.0,547.0,0.0,,,0,1,1900-01-01,
